"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"132742","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","表级级别自动分级 验证【数据地图】-表详情-表字段-新增【关联标准】列","无","1. 1. 进入数据地图-A表详情页
2. 查看关联标准，点击标准名称","1. 跳转标准详情页
2.","1. 
2.","","3","功能测试","功能测试阶段","正常","0","1","2","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132741","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","表级级别自动分级 验证【数据地图】-表详情-表字段-标记展示正确","无","1. 1. 进入数据地图-A表详情页
2. 查看字段标记","1. 1）表详情字段1展示标准A标记，同时展示安全等级1
2）点击字段1-标准，跳转标准详情页
3）字段2展示隐私等级1
2.","1. 
2.","","2","功能测试","功能测试阶段","正常","0","1","2","失败","旺仔","2024-08-18","","0000-00-00","1","",""
"132740","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","表级级别自动分级 验证【数据地图】-表详情展示【安全级别】逻辑正确","无","1. 1. 进入数据地图-A表详情页
2. 查看表安全等级","1. 1）表详情展示安全等级为2
2）表详情展示隐私等级为2
2.","1. 
2.","","1","功能测试","功能测试阶段","正常","0","1","2","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132739","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【手动分级】时，分级内容根据目录展示逻辑展示","无","1. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3）选择隐私等级目录
4）点击手动分级，查看手动分级下拉框
2. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3）选择安全等级目录
4）点击手动分级，查看手动分级下拉框
3. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3）输入必填信息，选择隐私等级目录
4）点击手动分级，查看手动分级下拉框，选择分级
5）保存","1. 1）只展示隐私等级目录下的数据
2. 1）只展示安全等级目录下的数据
3. 保存成功","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","1","3","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132738","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【分级数据】目录形式变更","无","1. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】
2. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3）选择安全等级目录
4. 1）点击资产-数据安全-数据分级分类
2）点击【分级数据】-点击安全等级下拉框
3）选择隐私等级目录","1. 1）【数据级别】文案变更为【安全等级】
2. 可选择按照安全等级目录查看或者按照隐私等级目录查看
3. 1）目录展示正确
2）列表内容展示正确
4. 1）目录展示正确
2）列表内容展示正确","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132737","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【自动分级】-【规则详情】-新增隐私等级内容","无","1. 1）点击资产-数据安全-数据分级分类
2）点击自动分级-选择已存在的规则A
3）点击A名称查看规则详情页","1. 1）详情页【所属分级】文案变更为【安全等级】
2）详情页正确展示【隐私等级】信息，展示在【安全等级】右侧","1.","","3","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132736","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【自动分级】-【隐私等级】筛选按钮功能正确","无","1. 1）点击资产-数据安全-数据分级分类
2）点击自动分级-输入隐私等级内容
3）筛选","1. 1）存在即展示隐私等级内容
2）不存在则展示---","1.","","2","功能测试","功能测试阶段","正常","0","3","1","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132735","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【自动分级】页面变更正确","无","1. 1）点击资产-数据安全-数据分级分类
2）点击自动分级","1. 1）【级别】筛选文案变更为【安全等级】
2）新增【隐私等级】筛选列","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132734","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","自动分级管理 验证【添加规则】页面变更正确","无","1. 1）点击资产-数据安全-数据分级分类
2）点击自动分级-【添加】按钮添加规则","1. 1）【所属分级】改为【安全分级】
2）新增【隐私分级】
3）【安全分级】/【隐私分级】必选其中之一","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2024-08-18","","0000-00-00","1","",""
"132733","数据资产_STD(#23)","/泸州老窖/数据安全(#7867)","","隐私等级管理 验证【隐私级别】-【置顶】按钮功能正确","无","1. 选择级别A，点击【置顶】按钮
2. 选择级别A，点击【取消置顶】按钮
3. 选择级别A，从第三行拖动到第一行","1. 移动置顶位置
2. 恢复原本位置
3. 1）拖动成功，位置变更成功
2）自动分级时，按照高级别为准","1. 
2. 
3.","","1","功能测试","功能测试阶段","正常","0","3","3","失败","旺仔","2024-08-18","","0000-00-00","1","",""
