"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"57815","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「审批中」页面批量撤回的功能","无","1. 未勾选审批申请，查看批量撤回icon的展示
2. 勾选多个未被操作的审批申请，点击批量撤回icon
3. 点击否
4. 点击是
5. 开启两个无痕页面，一个页面登录管理员a，通过数据开发b的审批申请A和拒绝审批申请B，之后在另一个页面登录数据开发b，勾选一个未被操作的审批申请C以及审批申请AB，点击批量撤回
6. 点击是","1. 【撤回】按钮置灰
2. 二次弹窗确认：
是否批量撤回审批申请？
撤回后表将恢复到提交审批前状态
3. 列表还存在被勾选的审批申请
4. 全局提示：操作成功；
「审批中」页面列表不显示被勾选的审批申请；
「已审批」页面列表显示被勾选的审批申请，状态显示为已撤回
5. 二次弹窗确认：
是否批量撤回审批申请？
撤回后表将恢复到提交审批前状态
6. 全局提示：1张表撤回审批成功；2张表撤回审批失败，已被操作，无法撤回；
「审批中」页面列表不显示被勾选的审批申请；
「已审批」页面列表显示被勾选的审批申请，审批申请A状态为已通过，B状态为已拒绝，C状态为已撤回","1.
2.
3.
4.
5.
6.","","1","功能测试","功能测试阶段","正常","0","0","6","通过","qiuqiu","2022-02-22","daji","2022-04-25","3","",""
"57813","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「审批中」页面操作下的的撤回功能","无","1. 点击「审批中」页面审批申请的撤回按钮
2. 点击否
3. 点击是","1. 二次弹窗确认：
确认撤回审批申请？
撤回后表将维持提交审批前状态
2. 列表还存在该审批申请
3. 全局提示：操作成功；
「审批中」页面列表不显示该审批申请；
「已审批」页面列表显示该审批申请，状态显示为已撤回","1.
2.
3.","","1","功能测试","功能测试阶段","正常","0","0","3","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"57810","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「审批中」页面，点击表名的跳转功能","无","1. 查看列表中表名的状态
2. 点击可点击状态的表名","1. 动作为新建的表名不可点击，其余表名显示为可点击状态
2. 跳转至该表的元数据详情页","1.
2.","","1","功能测试","功能测试阶段","正常","0","0","2","通过","qiuqiu","2022-02-22","qiuqiu","2022-02-22","2","",""
"57808","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「我的模型」审批中页面的展示","无","1. 点击数据模型tab下的「我的模型」
2. 点击「审批中」tab","1. 跳转至「我的模型」已审批页面
2. 跳转至「我的模型」审批中页面；
列表title显示为：表名，表中文名，动作，提交时间，操作；
默认按照提交时间倒序","1.
2.","","1","功能测试","功能测试阶段","正常","0","0","2","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"57806","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「已审批」页面审批时间的排序功能","无","1. 点击「已审批」页面的审批时间","1. 列表按照审批时间正序或倒序排序","1.","","1","功能测试","功能测试阶段","正常","0","0","1","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"57801","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「已审批」页面，点击表名的跳转功能","无","1. 查看列表中表名的状态
2. 点击可点击状态的表名","1. 【删除-已通过】，【新建-已拒绝】，【新建-已撤回】时，表名置灰，不可点击；
其他状态表名显示为可点击状态
2. 跳转至该表的元数据详情页","1.
2.","","1","功能测试","功能测试阶段","正常","0","0","2","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"57799","数据资产_STD(#23)","/主干测试用例/v5.1.x(#4386)","","我的模型-> 验证「我的模型」已审批页面的展示","无","1. 点击数据模型tab下的「我的模型」","1. 跳转至「我的模型」已审批页面；
列表title显示为：表名，表中文名，动作，授权状态，审批人，提交时间，审批时间，操作；
默认按照提交时间倒序","1.","","1","功能测试","功能测试阶段","正常","0","0","1","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"47404","数据资产_STD(#23)","/版本迭代测试用例/v5.1.0_beta/数据模型-审批(#3732)","","我的模型-> 验证「我的模型」已审批页面的展示","无","1. 点击数据模型tab下的「我的模型」","1. 跳转至「我的模型」已审批页面；
列表title显示为：表名，表中文名，动作，授权状态，审批人，提交时间，审批时间，操作；
默认按照提交时间倒序","1.","","1","功能测试","功能测试阶段","正常","0","7","1","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"47402","数据资产_STD(#23)","/版本迭代测试用例/v5.1.0_beta/数据模型-审批(#3732)","","我的模型-> 验证「已审批」页面，点击表名的跳转功能","无","1. 查看列表中表名的状态
2. 点击可点击状态的表名","1. 【删除-已通过】，【新建-已拒绝】，【新建-已撤回】时，表名置灰，不可点击；
其他状态表名显示为可点击状态
2. 跳转至该表的元数据详情页","1.
2.","","1","功能测试","功能测试阶段","正常","0","5","2","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
"47397","数据资产_STD(#23)","/版本迭代测试用例/v5.1.0_beta/数据模型-审批(#3732)","","我的模型-> 验证「已审批」页面审批时间的排序功能","无","1. 点击「已审批」页面的审批时间","1. 列表按照审批时间正序或倒序排序","1.","","1","功能测试","功能测试阶段","正常","0","5","1","通过","qiuqiu","2022-02-22","","0000-00-00","1","",""
