用例标题,前置条件,输入步骤,预期输出,对应需求
数据货架管理 - 作品管理 列表页 页面初始化与权限 验证管理类账号进入作品管理页面后字段与按钮齐全,1) 使用具备【数据货架管理 → 作品管理】操作权限的后台账号（超管 / 数据责任人 / 数据专员 / 数据管理员）登录系统。<br>2) 列表中已存在 BI 数据集与 BI 报表两类作品记录。,"1. 进入【数据货架管理 → 作品管理】页面，等待列表加载完成
2. 在页面顶部查看页面级按钮","1. 页面正常加载，列表展示作品记录；操作列显示【详情】【编目】【发布】【上架/下架】等按钮
2. 页面显示【立即同步】按钮",指标资源
数据货架管理 - 作品管理 列表页 页面初始化与权限 验证只读账号进入作品管理页面时仅显示查看入口,1) 使用仅具备页面查看权限的只读账号登录系统。,1. 进入【数据货架管理 → 作品管理】页面，等待列表加载完成,1. 页面可正常访问；不显示【立即同步】【编目】【发布】【上架/下架】按钮，操作列仅显示【详情】,指标资源
数据货架管理 - 作品管理 列表页 状态流转 验证已编目未发布的作品可发布并上架后再下架,1) 使用具备发布与上下架权限的账号登录系统。<br>2) 列表中存在一条已完成编目、未发布、未上架的作品记录。,"1. 在目标作品行点击【发布】按钮并完成确认，等待列表刷新完成
2. 在同一作品行点击【上架】按钮并完成确认，等待列表刷新完成
3. 点击【下架】按钮并完成确认，等待列表刷新完成","1. 作品的发布状态变为「已发布」；无阻断异常提示
2. 上架状态变为「已上架」，操作列显示【下架】按钮
3. 上架状态变回「未上架」；发布状态保持「已发布」",指标资源
数据货架管理 - 作品管理 列表页 状态流转 验证未完成编目的作品无法直接上架,1) 列表中存在一条编目状态为不完备的作品记录。,1. 在目标作品行查看操作列,1. 【上架】按钮置灰或不显示；hover 给出无法上架的提示,指标资源
数据货架管理 - 作品管理 列表页 状态流转 验证立即同步操作可拉取最新作品并刷新列表,1) 使用具备【立即同步】按钮权限的账号登录系统。<br>2) 上游 BI 平台存在新增或变更的作品。,"1. 在页面顶部点击【立即同步】按钮，等待请求返回
2. 等待同步任务完成后刷新列表","1. 触发同步任务，按钮进入加载/不可重复点击状态
2. 列表新增或更新对应作品记录；同步完成时间字段更新为最新时间",指标资源
数据货架管理 - 作品管理 列表页 前后台联动 验证后台上架后前台作品资源可见且下架后不可见,1) 使用具备作品管理操作权限的后台账号登录系统。<br>2) 存在一条已编目、已发布但尚未上架的作品。<br>3) 存在可访问【数据货架 → 作品资源】页面的前台账号。,"1. 在后台对该作品执行【上架】操作
2. 进入【数据货架 → 作品资源】页面并搜索该作品
3. 返回后台对该作品执行【下架】操作，再回到前台搜索","1. 上架状态变为「已上架」
2. 前台可搜索到该资源并显示资源卡片
3. 前台搜索结果中不再显示该资源",指标资源
数据货架 - 作品资源 列表页 目录与搜索 验证默认进入作品资源页面时数据目录树与作品列表正确加载,1) 使用具备【数据货架 → 作品资源】页面访问权限的前台账号登录系统。<br>2) 数据目录中存在 L0~L3 层级节点；不同节点下挂有作品资源。,"1. 进入【数据货架 → 作品资源】页面，等待初始化完成
2. 选中一个非末端目录节点","1. 左侧数据目录默认展开 L1 级节点；L2、L3 节点折叠且可展开/收起
2. 列表展示该节点及其所有下属子节点的作品资源",指标资源
数据货架 - 作品资源 列表页 目录与搜索 验证中文名称模糊搜索与目录过滤取 AND 逻辑,1) 数据目录中存在一个挂载多条作品的节点。<br>2) 该节点下至少存在 2 条名称包含相同关键字的作品。,"1. 选中目标目录节点，在搜索框输入名称关键字后点击【搜索】，等待列表刷新完成
2. 切换到不包含该关键字作品的目录节点，等待列表刷新完成","1. 列表只展示同时满足「目录过滤」与「名称模糊匹配」的作品；结果数量与统计一致
2. 列表显示空结果或 0 条命中提示",指标资源
数据货架 - 作品资源 列表页 目录与搜索 验证高级搜索按多维条件组合查询作品,1) 列表中存在可被高级搜索字段命中的 BI 数据集与 BI 报表作品。,"1. 在列表上方点击【高级搜索】，按 PRD 附录 7-#6 / #7 的字段填写多个查询条件并提交，等待列表刷新完成
2. 重置高级搜索条件，等待列表刷新完成","1. 列表只展示满足所有高级搜索条件且属于当前目录的作品
2. 高级搜索条件清空，列表恢复到仅按目录过滤的结果",指标资源
数据货架 - 作品资源 列表页 收藏夹 验证收藏夹支持分页与跨资源类型查看以及取消收藏,1) 当前账号已收藏多条不同类型的资源（数据集 / 作品 / API / 时序设备）。,"1. 在页面右下点击星型图标
2. 切换顶部资源类型标签
3. 选择某条收藏点击【移除】，等待弹窗刷新完成
4. 在分页 1 全选后切换到分页 2 再勾选 1 条","1. 弹出「我的收藏夹」弹窗，默认按某资源类型展示，并显示分页
2. 列表切换为对应资源类型的收藏内容
3. 收藏从列表中移除；再次进入弹窗仍不在列表中
4. 全选仅作用于当前页；跨页切换时已勾选状态被记忆",指标资源
